               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.027065,           0.0084038,                   0,             0.33512,             0.45455,             0.44841,              0.1708,            0.027743,           0.0052075,                   0,            0.008335,            0.008335,            0.008335
                  39,            0.023151,           0.0091833,                   0,             0.37494,             0.63636,             0.44549,              0.1724,            0.026642,           0.0051826,                   0,             0.00829,             0.00829,             0.00829
                  40,            0.025559,           0.0093696,                   0,             0.32397,             0.68182,             0.41204,              0.1573,            0.019319,            0.005973,                   0,            0.008245,            0.008245,            0.008245
                  41,            0.024136,            0.010792,                   0,             0.31947,             0.81818,              0.4526,             0.17872,             0.01788,           0.0058737,                   0,              0.0082,              0.0082,              0.0082
                  42,            0.028527,            0.013439,                   0,             0.38937,              0.5221,             0.45279,             0.18887,            0.022952,           0.0055932,                   0,            0.008155,            0.008155,            0.008155
                  43,            0.026354,            0.011219,                   0,             0.53724,             0.63636,             0.56972,             0.25193,            0.024791,           0.0053664,                   0,             0.00811,             0.00811,             0.00811
                  44,            0.029787,            0.013406,                   0,              0.5882,             0.68182,             0.67183,             0.27906,            0.022544,           0.0057746,                   0,            0.008065,            0.008065,            0.008065
                  45,            0.024061,           0.0078596,                   0,             0.63692,              0.4791,             0.57735,               0.264,            0.022775,           0.0058615,                   0,             0.00802,             0.00802,             0.00802
                  46,            0.022984,            0.006519,                   0,             0.53676,             0.45455,             0.49151,             0.24903,            0.029396,           0.0048969,                   0,            0.007975,            0.007975,            0.007975
                  47,             0.02342,           0.0058715,                   0,             0.69025,             0.59091,             0.71052,             0.36943,            0.020775,           0.0049543,                   0,             0.00793,             0.00793,             0.00793
                  48,            0.027368,            0.010988,                   0,             0.64157,             0.57012,             0.56701,             0.30067,            0.023187,           0.0046074,                   0,            0.007885,            0.007885,            0.007885
